experiment,group,scenario,chain,quality,engine,cs_psnr,sr_psnr,cs_ssim,sr_ssim,cs_mae,sr_mae,cs_rmse,sr_rmse
single,single,None,None,0,sim,20.956085815429688,23.226186141967773,0.8282053685188293,0.7394138813018799,16.71744857788086,13.316835479736328,24.520963439941408,18.268404922485352
single,single,JPEG,JPEG,80,sim,20.956085815429688,22.43193489074707,0.8282053685188293,0.6545462274551391,16.71744857788086,14.464315032958984,24.520963439941408,19.950626220703125
single,single,WebP,WebP,80,sim,20.95489028930664,22.933888397216798,0.8282087969779969,0.7077812576293945,16.718472061157225,13.790345306396484,24.524309463500977,18.817225646972656
single,single,HEIF,HEIF,80,sim,20.95496826171875,22.72252182006836,0.8282083249092103,0.7104358148574829,16.718415679931642,14.187754440307618,24.524024658203125,19.260064392089845
single,single,AVIF,AVIF,80,sim,20.95459419250488,23.12254409790039,0.8282065439224243,0.7157121896743774,16.71853614807129,13.475407028198243,24.52514663696289,18.45313232421875
single,cascade,Single (baseline),JPEG,80,sim,20.956085815429688,22.43193489074707,0.8282053685188293,0.6545462274551391,16.71744857788086,14.464315032958984,24.520963439941408,19.950626220703125
single,cascade,Double same,JPEG -> JPEG,80,sim,20.956085815429688,22.330470123291015,0.8282053685188293,0.649042100906372,16.71744857788086,14.628555068969726,24.520963439941408,20.185426559448242
single,cascade,Double cross,JPEG -> WebP,80,sim,20.956085815429688,22.15703353881836,0.8282053685188293,0.6312522459030151,16.71744857788086,14.935448684692382,24.520963439941408,20.53500457763672
single,cascade,Triple mixed,JPEG -> WebP -> JPEG,80,sim,20.956085815429688,22.005100860595704,0.8282053685188293,0.6288991308212281,16.71744857788086,15.174321327209473,24.520963439941408,20.90291717529297
single,cascade,Platform simulate,JPEG -> HEIF -> WebP,80,sim,20.956085815429688,21.742222290039063,0.8282053685188293,0.6165321922302246,16.71744857788086,15.740027275085449,24.520963439941408,21.458642807006836
single,cascade,Full chain,JPEG -> WebP -> HEIF -> AVIF,80,sim,20.956085815429688,21.674959869384764,0.8282053685188293,0.6139441871643067,16.71744857788086,15.848843421936035,24.520963439941408,21.618977813720704
single,sweep,JPEG q=95,JPEG,95,sim,20.956085815429688,23.15532814025879,0.8282053685188293,0.7132464003562927,16.71744857788086,13.375614852905274,24.520963439941408,18.43227767944336
single,sweep,JPEG q=90,JPEG,90,sim,20.956085815429688,22.93310401916504,0.8282053685188293,0.6919818425178528,16.71744857788086,13.713323669433594,24.520963439941408,18.879960021972657
single,sweep,JPEG q=80,JPEG,80,sim,20.956085815429688,22.43193489074707,0.8282053685188293,0.6545462274551391,16.71744857788086,14.464315032958984,24.520963439941408,19.950626220703125
single,sweep,JPEG q=65,JPEG,65,sim,20.956085815429688,21.792841339111327,0.8282053685188293,0.6140976524353028,16.71744857788086,15.479286346435547,24.520963439941408,21.425081634521483
single,sweep,JPEG q=50,JPEG,50,sim,20.956085815429688,21.307068481445313,0.8282053685188293,0.586260998249054,16.71744857788086,16.320961570739748,24.520963439941408,22.620894775390624
single,sweep,WebP q=95,WebP,95,sim,20.95489028930664,23.241559143066407,0.8282087969779969,0.7210097074508667,16.718472061157225,13.208420944213866,24.524309463500977,18.21992721557617
single,sweep,WebP q=90,WebP,90,sim,20.95489028930664,23.203894271850587,0.8282087969779969,0.71718186378479,16.718472061157225,13.284308547973632,24.524309463500977,18.295192642211916
single,sweep,WebP q=80,WebP,80,sim,20.95489028930664,22.933888397216798,0.8282087969779969,0.7077812576293945,16.718472061157225,13.790345306396484,24.524309463500977,18.817225646972656
single,sweep,WebP q=65,WebP,65,sim,20.95489028930664,22.16425712585449,0.8282087969779969,0.6906919169425965,16.718472061157225,15.288915901184081,24.524309463500977,20.40939094543457
single,sweep,WebP q=50,WebP,50,sim,20.95489028930664,21.17980773925781,0.8282087969779969,0.6718051862716675,16.718472061157225,17.419647216796875,24.524309463500977,22.704042816162108
single,sweep,HEIF q=95,HEIF,95,sim,20.95496826171875,22.915792388916017,0.8282083249092103,0.7245853853225708,16.718415679931642,13.865693168640137,24.524024658203125,18.87233154296875
single,sweep,HEIF q=90,HEIF,90,sim,20.95496826171875,22.86557731628418,0.8282083249092103,0.7208320713043213,16.718415679931642,13.953233795166016,24.524024658203125,18.972607955932617
single,sweep,HEIF q=80,HEIF,80,sim,20.95496826171875,22.72252182006836,0.8282083249092103,0.7104358148574829,16.718415679931642,14.187754440307618,24.524024658203125,19.260064392089845
single,sweep,HEIF q=65,HEIF,65,sim,20.95496826171875,22.360326843261717,0.8282083249092103,0.6865927791595459,16.718415679931642,14.815365219116211,24.524024658203125,20.0175186920166
single,sweep,HEIF q=50,HEIF,50,sim,20.95496826171875,21.71165542602539,0.8282083249092103,0.6506648826599121,16.718415679931642,15.996363525390626,24.524024658203125,21.46943130493164
single,sweep,AVIF q=95,AVIF,95,sim,20.95459419250488,23.322041015625,0.8282065439224243,0.727269914150238,16.71853614807129,13.13239631652832,24.52514663696289,18.074071731567383
single,sweep,AVIF q=90,AVIF,90,sim,20.95459419250488,23.26556411743164,0.8282065439224243,0.7241476559638977,16.71853614807129,13.23000545501709,24.52514663696289,18.179945602416993
single,sweep,AVIF q=80,AVIF,80,sim,20.95459419250488,23.12254409790039,0.8282065439224243,0.7157121896743774,16.71853614807129,13.475407028198243,24.52514663696289,18.45313232421875
single,sweep,AVIF q=65,AVIF,65,sim,20.95459419250488,22.787665100097655,0.8282065439224243,0.6955353879928589,16.71853614807129,14.044498138427734,24.52514663696289,19.115963745117188
single,sweep,AVIF q=50,AVIF,50,sim,20.95459419250488,22.19690979003906,0.8282065439224243,0.6637839031219482,16.71853614807129,15.081628189086913,24.52514663696289,20.3609423828125
single,single,None,None,0,real,20.956085815429688,23.226186141967773,0.8282053685188293,0.7394138813018799,16.71744857788086,13.316835479736328,24.520963439941408,18.268404922485352
single,single,JPEG,JPEG,80,real,20.956085815429688,22.422131805419923,0.8282053685188293,0.653454155921936,16.71744857788086,14.480524444580078,24.520963439941408,19.97092315673828
single,single,WebP,WebP,80,real,20.95489028930664,22.742234497070314,0.8282087969779969,0.6809630823135376,16.718472061157225,14.014403228759766,24.524309463500977,19.270563659667967
single,single,HEIF,HEIF,80,real,20.95496826171875,23.300325164794923,0.8282083249092103,0.7336040878295899,16.718415679931642,13.204511375427247,24.524024658203125,18.130290603637697
single,single,AVIF,AVIF,80,real,20.95459419250488,23.262100830078126,0.8282065439224243,0.7085130834579467,16.71853614807129,13.090232963562011,24.52514663696289,18.241043853759766
single,cascade,Single (baseline),JPEG,80,real,20.956085815429688,22.422131805419923,0.8282053685188293,0.653454155921936,16.71744857788086,14.480524444580078,24.520963439941408,19.97092315673828
single,cascade,Double same,JPEG -> JPEG,80,real,20.956085815429688,22.318141708374025,0.8282053685188293,0.6478354406356811,16.71744857788086,14.649844131469727,24.520963439941408,20.21056526184082
single,cascade,Double cross,JPEG -> WebP,80,real,20.956085815429688,22.015773162841796,0.8282053685188293,0.6251898479461669,16.71744857788086,15.074458389282226,24.520963439941408,20.901808624267577
single,cascade,Triple mixed,JPEG -> WebP -> JPEG,80,real,20.956085815429688,21.523431701660158,0.8282053685188293,0.59261146068573,16.71744857788086,15.889896087646484,24.520963439941408,22.099645309448242
single,cascade,Platform simulate,JPEG -> HEIF -> WebP,80,real,20.956085815429688,21.987244338989257,0.8282053685188293,0.6239869308471679,16.71744857788086,15.136771621704101,24.520963439941408,20.966476287841797
single,cascade,Full chain,JPEG -> WebP -> HEIF -> AVIF,80,real,20.956085815429688,21.777060470581056,0.8282053685188293,0.6074522280693054,16.71744857788086,15.353961601257325,24.520963439941408,21.48658393859863
single,sweep,JPEG q=95,JPEG,95,real,20.956085815429688,23.151670150756836,0.8282053685188293,0.7120450353622436,16.71744857788086,13.37804817199707,24.520963439941408,18.439696502685546
single,sweep,JPEG q=90,JPEG,90,real,20.956085815429688,22.930570831298827,0.8282053685188293,0.6911530685424805,16.71744857788086,13.715237350463868,24.520963439941408,18.885620040893556
single,sweep,JPEG q=80,JPEG,80,real,20.956085815429688,22.422131805419923,0.8282053685188293,0.653454155921936,16.71744857788086,14.480524444580078,24.520963439941408,19.97092315673828
single,sweep,JPEG q=65,JPEG,65,real,20.956085815429688,21.74632293701172,0.8282053685188293,0.6131758880615235,16.71744857788086,15.594270057678223,24.520963439941408,21.51948699951172
single,sweep,JPEG q=50,JPEG,50,real,20.956085815429688,21.28728675842285,0.8282053685188293,0.5854497790336609,16.71744857788086,16.376818351745605,24.520963439941408,22.666828002929687
